agency_full,#_of_agencies,population,crime_type,YTD,PrevYTD,Percent_Change,YTD_Range,Last Updated
"Baton Rouge, Louisiana",1,219086,"Murders",27,35,-22.86%,"Jan - Apr 2025",2025-12-16 15:08:46 EST
"Buffalo, New York",1,275922,"Murders",26,37,-29.73%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Fayetteville, North Carolina",1,209262,"Murders",26,14,85.71%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Greensboro, North Carolina",1,303237,"Murders",26,27,-3.70%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Miami, Florida",1,452929,"Murders",26,23,13.04%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Tulsa, Oklahoma",1,411002,"Murders",26,35,-25.71%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Baltimore County, Maryland",1,845222,"Murders",25,17,47.06%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Dayton, Ohio",1,135181,"Murders",25,29,-13.79%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Newark, New Jersey",1,303827,"Murders",25,34,-26.47%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Colorado Springs, Colorado",1,489254,"Murders",24,36,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"San Francisco, California",1,782846,"Murders",24,30,-20.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"St Louis County, Missouri",1,398969,"Murders",23,27,-14.81%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Winston-Salem, North Carolina",1,252132,"Murders",23,20,15.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Akron, Ohio",1,187705,"Murders",22,17,29.41%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Boston, Massachusetts",1,642823,"Murders",22,20,10.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Hampton, Virginia",1,138533,"Murders",22,10,120.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Long Beach, California",1,444415,"Murders",22,33,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Raleigh, North Carolina",1,482842,"Murders",22,22,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"San Jose, California",1,952530,"Murders",22,22,0.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Fresno, California",1,547134,"Murders",20,28,-28.57%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Omaha, Nebraska",1,481471,"Murders",20,16,25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
