agency_full,#_of_agencies,population,crime_type,YTD,PrevYTD,Percent_Change,YTD_Range,Last Updated
"Lancaster County, South Carolina",1,100080,"Murders",4,3,33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Lee's Summit, Missouri",1,104402,"Murders",4,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Lenexa, Kansas",1,59161,"Murders",4,2,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Longview, Texas",1,82981,"Murders",4,9,-55.56%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Midwest City, Oklahoma",1,57696,"Murders",4,3,33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Nassau County, New York",1,1077192,"Murders",4,1,300.00%,"Jan - Apr 2025",2025-12-16 15:08:46 EST
"National City, California",1,55270,"Murders",4,2,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"New Bedford, Massachusetts",1,100876,"Murders",4,7,-42.86%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Norman, Oklahoma",1,130366,"Murders",4,1,300.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Peoria, Arizona",1,200886,"Murders",4,1,300.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Pima County, Arizona",1,365222,"Murders",4,9,-55.56%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Pontiac, Michigan",1,61871,"Murders",4,12,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Port Arthur, Texas",1,55371,"Murders",4,5,-20.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Schenectady, New York",1,69035,"Murders",4,7,-42.86%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"St. Cloud, Minnesota",1,69922,"Murders",4,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"St. George, Utah",1,105930,"Murders",4,1,300.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Travis County, Texas",1,277111,"Murders",4,5,-20.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"West Jordan, Utah",1,116485,"Murders",4,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Youngstown, Ohio",1,58773,"Murders",4,5,-20.00%,"Jan - May 2025",2025-12-16 15:08:46 EST
"Bellevue, Nebraska",1,62372,"Murders",3,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Boulder, Colorado",1,104232,"Murders",3,0,NaN%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Bridgeport, Connecticut",1,148483,"Murders",3,11,-72.73%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Burlington, North Carolina",1,60156,"Murders",3,4,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Canton Township, Michigan",1,98915,"Murders",3,3,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Chula Vista, California",1,280748,"Murders",3,4,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Clovis, California",1,126552,"Murders",3,2,50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Denton County, Texas",1,160587,"Murders",3,1,200.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Erie, Pennsylvania",1,92920,"Murders",3,4,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Escondido, California",1,149837,"Murders",3,2,50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Fall River, Massachusetts",1,93879,"Murders",3,4,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Forsyth County, Georgia",1,267417,"Murders",3,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Fort Collins, Colorado",1,168886,"Murders",3,3,0.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Frisco, Texas",1,228527,"Murders",3,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Grand Prairie, Texas",1,205487,"Murders",3,4,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Hall County, Georgia",1,148922,"Murders",3,1,200.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Hammond, Indiana",1,75990,"Murders",3,2,50.00%,"Jan - Feb 2025",2025-12-16 15:08:46 EST
"Henrico County, Virginia",1,334046,"Murders",3,16,-81.25%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Henry County, Georgia",1,172407,"Murders",3,4,-25.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Johns Creek, Georgia",1,82646,"Murders",3,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Jonesboro, Arkansas",1,80395,"Murders",3,3,0.00%,"Jan - Jul 2025",2025-12-16 15:08:46 EST
"Kalamazoo County, Michigan",1,108458,"Murders",3,3,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Kannapolis, North Carolina",1,56479,"Murders",3,4,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Lafayette, Louisiana",1,121361,"Murders",3,9,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Lexington County, South Carolina",1,232613,"Murders",3,5,-40.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Livingston Parish, Louisiana",1,134038,"Murders",3,7,-57.14%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Loudoun County, Virginia",1,378299,"Murders",3,5,-40.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Lynn, Massachusetts",1,101144,"Murders",3,3,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Madison, Wisconsin",1,274234,"Murders",3,4,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Odessa, Texas",1,111922,"Murders",3,4,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Owensboro, Kentucky",1,59937,"Murders",3,1,200.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Oxnard, California",1,199508,"Murders",3,5,-40.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Parker County, Texas",1,114776,"Murders",3,2,50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Pasadena, Texas",1,145850,"Murders",3,5,-40.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Pawtucket, Rhode Island",1,75100,"Murders",3,3,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Pharr, Texas",1,80359,"Murders",3,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Rapid City, South Dakota",1,80850,"Murders",3,5,-40.00%,"Jan - Jul 2025",2025-12-16 15:08:46 EST
"Rock Hill, South Carolina",1,75681,"Murders",3,4,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Royal Oak, Michigan",1,57233,"Murders",3,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Salem, Oregon",1,178276,"Murders",3,6,-50.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"San Marcos, Texas",1,71413,"Murders",3,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Smith County, Texas",1,111489,"Murders",3,5,-40.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Sonoma County, California",1,131522,"Murders",3,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Southfield, Michigan",1,74960,"Murders",3,1,200.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Sparks, Nevada",1,109403,"Murders",3,4,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"St Charles, Missouri",1,71408,"Murders",3,2,50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Taylor, Michigan",1,61781,"Murders",3,3,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Tulare County, California",1,135511,"Murders",3,9,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Walnut Creek, California",1,68441,"Murders",3,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Waterloo, Iowa",1,66211,"Murders",3,2,50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Westminster, Colorado",1,113660,"Murders",3,5,-40.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Wichita Falls, Texas",1,102740,"Murders",3,9,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Adams County, Colorado",1,100798,"Murders",2,4,-50.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Alameda County, California",1,148466,"Murders",2,8,-75.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Alhambra, California",1,79087,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Allentown, Pennsylvania",1,124782,"Murders",2,4,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Asheville, North Carolina",1,93471,"Murders",2,9,-77.78%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Baldwin Park, California",1,68230,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Barnstable, Massachusetts",1,50034,"Murders",2,1,100.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Battle Creek, Michigan",1,60969,"Murders",2,5,-60.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Beaumont, California",1,57819,"Murders",2,0,NaN%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Bellingham, Washington",1,94968,"Murders",2,5,-60.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Boise, Idaho",1,236949,"Murders",2,1,100.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Bossier City, Louisiana",1,62602,"Murders",2,7,-71.43%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Bowling Green, Kentucky",1,76194,"Murders",2,1,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Broken Arrow, Oklahoma",1,119959,"Murders",2,4,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Brookhaven, Georgia",1,58507,"Murders",2,4,-50.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Brownsville, Texas",1,190590,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Burnsville, Minnesota",1,63650,"Murders",2,5,-60.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Cheyenne, Wyoming",1,64307,"Murders",2,2,0.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Chicopee, Massachusetts",1,55043,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Citrus Heights, California",1,85894,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Clackamas County, Oregon",1,243311,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Commerce City, Colorado",1,67851,"Murders",2,5,-60.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Concord, North Carolina",1,111915,"Murders",2,5,-60.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Council Bluffs, Iowa",1,62214,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Dearborn Heights, Michigan",1,61420,"Murders",2,1,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Dearborn, Michigan",1,106747,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Des Moines, Iowa",1,209658,"Murders",2,9,-77.78%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Douglas County, Colorado",1,219477,"Murders",2,3,-33.33%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Eau Claire, Wisconsin",1,69859,"Murders",2,1,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Edmond, Oklahoma",1,97063,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"El Dorado County, California",1,162436,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"El Monte, California",1,103463,"Murders",2,6,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Elkhart, Indiana",1,53773,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Enid, Oklahoma",1,50168,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Eugene, Oregon",1,178191,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Fayetteville, Arkansas",1,101624,"Murders",2,8,-75.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Folsom, California",1,84559,"Murders",2,4,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Franklin, Tennessee",1,88315,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Goodyear, Arizona",1,109929,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Green Bay, Wisconsin",1,105521,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Greenville, South Carolina",1,72961,"Murders",2,7,-71.43%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Hamilton Township, New Jersey",1,120098,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Hillsboro, Oregon",1,107459,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Iowa City, Iowa",1,75396,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Irving, Texas",1,255203,"Murders",2,18,-88.89%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Kent County, Michigan",1,267237,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Knox County, Tennessee",1,304331,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Kokomo, Indiana",1,59720,"Murders",2,2,0.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"La Mesa, California",1,60008,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Lansing, Michigan",1,112529,"Murders",2,3,-33.33%,"Jan - Apr 2025",2025-12-16 15:08:46 EST
"Lawrence, Massachusetts",1,87806,"Murders",2,7,-71.43%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"League City, Texas",1,115791,"Murders",2,4,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Leander, Texas",1,82228,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Little Elm, Texas",1,59954,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Manchester, New Hampshire",1,114963,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Medford, Oregon",1,85352,"Murders",2,2,0.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Midland, Texas",1,135253,"Murders",2,7,-71.43%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Mission Viejo, California",1,90944,"Murders",2,0,NaN%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Missouri City, Texas",1,77560,"Murders",2,1,100.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Murfreesboro, Tennessee",1,166916,"Murders",2,5,-60.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Napa, California",1,77956,"Murders",2,4,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"New Britain, Connecticut",1,74609,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"New Rochelle, New York",1,83357,"Murders",2,0,NaN%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Ogden, Utah",1,86593,"Murders",2,1,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Onslow County, North Carolina",1,125993,"Murders",2,5,-60.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Paulding County, Georgia",1,162740,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Pearland, Texas",1,127433,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Pflugerville, Texas",1,65599,"Murders",2,1,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Plano, Texas",1,291140,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Pleasanton, California",1,75238,"Murders",2,1,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Providence, Rhode Island",1,189590,"Murders",2,11,-81.82%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Racine, Wisconsin",1,75858,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Richardson, Texas",1,119008,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Richmond, California",1,113282,"Murders",2,11,-81.82%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Roseville, California",1,158084,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Round Rock, Texas",1,129898,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Rutherford County, Tennessee",1,104616,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"San Angelo, Texas",1,98642,"Murders",2,4,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"San Mateo County, California",1,127963,"Murders",2,1,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Santa Monica, California",1,88552,"Murders",2,2,0.00%,"Jan - Jun 2025",2025-12-16 15:08:46 EST
"Shelby Township, Michigan",1,79545,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Southaven, Mississippi",1,57135,"Murders",2,1,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Spring Hill, Tennessee",1,58200,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"St. Mary's County, Maryland",1,115684,"Murders",2,1,100.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Stafford County, Virginia",1,166413,"Murders",2,1,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Suffolk, Virginia",1,100598,"Murders",2,10,-80.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Terre Haute, Indiana",1,58309,"Murders",2,2,0.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Texas City, Texas",1,57448,"Murders",2,5,-60.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Thornton, Colorado",1,143838,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Thousand Oaks, California",1,123032,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Thurston County, Washington",1,145385,"Murders",2,2,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Torrance, California",1,138472,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Tulare, California",1,71428,"Murders",2,5,-60.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Tustin, California",1,77690,"Murders",2,0,NaN%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Upper Darby, Pennsylvania",1,84468,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Utica, New York",1,63548,"Murders",2,5,-60.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Warren, Michigan",1,136121,"Murders",2,4,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Waterford Township, Michigan",1,69153,"Murders",2,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"West Covina, California",1,103014,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Westland, Michigan",1,83463,"Murders",2,3,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Westminster, California",1,88710,"Murders",2,3,-33.33%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Abington, Pennsylvania",1,58433,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Ada County, Idaho",1,138487,"Murders",1,2,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Allen, Texas",1,114696,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Ames, Iowa",1,67186,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Ann Arbor, Michigan",1,118072,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Apple Valley, Minnesota",1,54995,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Arapahoe County, Colorado",1,104204,"Murders",1,2,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Arcadia, California",1,54071,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Arlington County, Virginia",1,231844,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Arvada, Colorado",1,120200,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Avondale, Arizona",1,92661,"Murders",1,3,-66.67%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Beaverton, Oregon",1,96840,"Murders",1,1,0.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Bend, Oregon",1,105099,"Murders",1,3,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Bensalem, Pennsylvania",1,62595,"Murders",1,0,NaN%,"Jan - Mar 2025",2025-12-16 15:08:46 EST
"Bentonville, Arkansas",1,59465,"Murders",1,3,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Berkeley, California",1,116595,"Murders",1,6,-83.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Bloomington, Minnesota",1,86793,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Bolingbrook, Illinois",1,74138,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Bowie, Maryland",1,56678,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Bozeman, Montana",1,57424,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Brooklyn Park, Minnesota",1,81920,"Murders",1,3,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Burleson, Texas",1,56307,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Burlington, Vermont",1,44522,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Caldwell, Idaho",1,68731,"Murders",1,1,0.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Camarillo, California",1,70010,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Cambridge, Massachusetts",1,118960,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Cameron County, Texas",1,95894,"Murders",1,3,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Carrollton, Texas",1,134261,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Cary, North Carolina",1,182878,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Cedar Park, Texas",1,77464,"Murders",1,3,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Centennial, Colorado",1,104724,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Chico, California",1,100896,"Murders",1,2,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Chino, California",1,94162,"Murders",1,3,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Clinton Township, Michigan",1,99012,"Murders",1,3,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Coeur D Alene, Idaho",1,57653,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"College Station, Texas",1,126136,"Murders",1,3,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Concord, California",1,121331,"Murders",1,2,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Conroe, Texas",1,106904,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Cranston, Rhode Island",1,82484,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Cuyahoga Falls, Ohio",1,50459,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Danbury, Connecticut",1,87327,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Delaware County, Ohio",1,104939,"Murders",1,2,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Desoto, Texas",1,56257,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Douglas County, Nebraska",1,94490,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Edina, Minnesota",1,51980,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Elizabeth, New Jersey",1,133578,"Murders",1,4,-75.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Elyria, Ohio",1,53024,"Murders",1,2,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Euclid, Ohio",1,48170,"Murders",1,5,-80.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Euless, Texas",1,59722,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Gardena, California",1,57853,"Murders",1,3,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Glendale, California",1,185923,"Murders",1,3,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Great Falls, Montana",1,60358,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Hamilton County, Tennessee",1,124372,"Murders",1,2,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Hamilton, Ohio",1,62705,"Murders",1,1,0.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Harlingen, Texas",1,71581,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Hendersonville, Tennessee",1,63291,"Murders",1,2,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Hoboken, New Jersey",1,56832,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Huntersville, North Carolina",1,63781,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Jeffersonville, Indiana",1,51780,"Murders",1,0,NaN%,"Jan - Mar 2025",2025-12-16 15:08:46 EST
"Johnson City, Tennessee",1,73225,"Murders",1,4,-75.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Joplin, Missouri",1,52881,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Kenosha, Wisconsin",1,97786,"Murders",1,3,-66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"La Crosse, Wisconsin",1,50759,"Murders",1,1,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Livingston County, Michigan",1,129813,"Murders",1,0,NaN%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
