__lineyka_row_id,agency_full,population,Percent_Change,YTD_Range,Last Updated
64,"Amarillo, Texas",201684,-30.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
65,"Brockton, Massachusetts",108938,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
66,"El Paso County, Texas",116599,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
67,"Gilbert, Arizona",278495,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
68,"Greenville, North Carolina",90048,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
69,"Gresham, Oregon",110225,40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
70,"Hayward, California",153914,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
71,"Honolulu, Hawaii",987546,-70.83%,Jan - Oct 2025,2025-12-16 15:08:46 EST
72,"Independence, Missouri",120326,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
73,"Lynchburg, Virginia",79509,-22.22%,Jan - Oct 2025,2025-12-16 15:08:46 EST
74,"Mckinney, Texas",212716,250.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
75,"Pomona, California",143578,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
76,"South Bend, Indiana",102999,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
77,"Spokane, Washington",230648,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
78,"Springfield, Missouri",170521,-12.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
79,"Victoria, Texas",65298,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
80,"Waco, Texas",145741,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
81,"Warner Robins, Georgia",82991,75.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
82,"Williamson County, Texas",202897,133.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
83,"Wilmington, North Carolina",122675,16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
84,"Yakima, Washington",96991,-36.36%,Jan - Sep 2025,2025-12-16 15:08:46 EST
85,"Aiken County, South Carolina",110756,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
86,"Baytown, Texas",83809,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
87,"Bexar County, Texas",438152,-53.85%,Jan - Jul 2025,2025-12-16 15:08:46 EST
88,"Brazoria County, Texas",132229,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
89,"Champaign, Illinois",89687,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
90,"Corona, California",160590,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
91,"Decatur, Illinois",68301,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
92,"Denton, Texas",155215,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
93,"El Cajon, California",103569,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
94,"Fort Bend County, Texas",578695,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
95,"Galveston, Texas",52810,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
96,"Garland, Texas",240051,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
97,"Georgetown, Texas",87871,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
98,"Jacksonville, North Carolina",69340,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
99,"Lakewood, Colorado",156065,100.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
100,"Laredo, Texas",256542,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
101,"Lewisville, Texas",133694,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
102,"Madera, California",68862,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
103,"Monterey County, California",103695,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
104,"North Little Rock, Arkansas",64612,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
105,"North Richland Hills, Texas",70853,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
106,"Prince William County, Virginia",480467,-60.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
107,"Salt Lake City, Utah",206692,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
108,"Santa Rosa, California",176855,200.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
109,"Sarasota County, Florida",294526,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
110,"Tyler, Texas",110824,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
111,"West Valley, Utah",135023,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
112,"Albemarle County, Virginia",115659,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
113,"Antioch, California",115271,-64.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
114,"Colerain Township, Ohio",58268,400.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
115,"Columbia, Missouri",129602,-58.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
116,"Elk Grove, California",177976,66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
117,"Evansville, Indiana",114950,-54.55%,Jan - Oct 2025,2025-12-16 15:08:46 EST
118,"Fairfax County, Virginia",1094031,-54.55%,Jan - Jul 2025,2025-12-16 15:08:46 EST
119,"Fairfield, California",119071,400.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
120,"Fort Smith, Arkansas",90417,NaN%,Jan - Aug 2025,2025-12-16 15:08:46 EST
121,"Gastonia, North Carolina",83739,66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
122,"Greenwood, Indiana",66131,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
123,"Hamilton County, Ohio",122218,-16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
124,"High Point, North Carolina",115490,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
125,"Lincoln, Nebraska",293155,-16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
126,"Merced, California",94125,-28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
127,"New Hanover County, North Carolina",105363,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
128,"Oceanside, California",171348,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
129,"Santa Maria, California",110317,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
130,"Scottsdale, Arizona",243644,400.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
131,"Sioux Falls, South Dakota",206559,-54.55%,Jan - Oct 2025,2025-12-16 15:08:46 EST
132,"Spotsylvania County, Virginia",149957,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
133,"Tempe, Arizona",188144,25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
134,"Visalia, California",145031,-28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
135,"Wake County, North Carolina",198748,66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
136,"Abilene, Texas",128387,-42.86%,Jan - Oct 2025,2025-12-16 15:08:46 EST
137,"Beaufort County, South Carolina",132948,-60.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
138,"Billings, Montana",121365,-55.56%,Jan - Oct 2025,2025-12-16 15:08:46 EST
139,"Buncombe County, North Carolina",158547,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
140,"Carlsbad, California",113796,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
141,"Cedar Rapids, Iowa",135777,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
142,"Chandler, Arizona",282419,100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
143,"Collin County, Texas",95286,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
144,"Conway, Arkansas",69315,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
145,"Davenport, Iowa",99911,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
146,"Duluth, Minnesota",86570,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
