__lineyka_row_id,agency_full,#_of_agencies,population,crime_type,YTD,PrevYTD,Percent_Change,YTD_Range,Last Updated
129,"Rockford, Illinois",1,145873,Murders,9,17,-47.06%,Jan - Oct 2025,2025-12-16 15:08:46 EST
130,"Springfield, Illinois",1,112781,Murders,9,9,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
131,"Springfield, Ohio",1,57866,Murders,9,4,125.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
132,"Beaumont, Texas",1,110671,Murders,8,12,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
133,"Charleston, South Carolina",1,155159,Murders,8,7,14.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
134,"Glendale, Arizona",1,253768,Murders,8,14,-42.86%,Jan - Sep 2025,2025-12-16 15:08:46 EST
135,"San Bernardino, California",1,219483,Murders,8,8,0.00%,Jan - May 2025,2025-12-16 15:08:46 EST
136,"Santa Fe, New Mexico",1,89657,Murders,8,4,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
137,"Shelby County, Tennessee",1,136188,Murders,8,6,33.33%,Jan - Sep 2025,2025-12-16 15:08:46 EST
138,"Waterbury, Connecticut",1,115380,Murders,8,8,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
139,"Yuma, Arizona",1,99610,Murders,8,2,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
140,"Amarillo, Texas",1,201684,Murders,7,10,-30.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
141,"Brockton, Massachusetts",1,108938,Murders,7,7,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
142,"El Paso County, Texas",1,116599,Murders,7,7,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
143,"Gilbert, Arizona",1,278495,Murders,7,1,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
144,"Greenville, North Carolina",1,90048,Murders,7,8,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
145,"Gresham, Oregon",1,110225,Murders,7,5,40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
146,"Hayward, California",1,153914,Murders,7,11,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
147,"Honolulu, Hawaii",1,987546,Murders,7,24,-70.83%,Jan - Oct 2025,2025-12-16 15:08:46 EST
148,"Independence, Missouri",1,120326,Murders,7,8,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
149,"Lynchburg, Virginia",1,79509,Murders,7,9,-22.22%,Jan - Oct 2025,2025-12-16 15:08:46 EST
150,"Mckinney, Texas",1,212716,Murders,7,2,250.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
151,"Pomona, California",1,143578,Murders,7,11,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
152,"South Bend, Indiana",1,102999,Murders,7,8,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
153,"Spokane, Washington",1,230648,Murders,7,14,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
154,"Springfield, Missouri",1,170521,Murders,7,8,-12.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
155,"Victoria, Texas",1,65298,Murders,7,1,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
156,"Waco, Texas",1,145741,Murders,7,8,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
157,"Warner Robins, Georgia",1,82991,Murders,7,4,75.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
158,"Williamson County, Texas",1,202897,Murders,7,3,133.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
159,"Wilmington, North Carolina",1,122675,Murders,7,6,16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
160,"Yakima, Washington",1,96991,Murders,7,11,-36.36%,Jan - Sep 2025,2025-12-16 15:08:46 EST
161,"Aiken County, South Carolina",1,110756,Murders,6,6,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
162,"Baytown, Texas",1,83809,Murders,6,5,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
163,"Bexar County, Texas",1,438152,Murders,6,13,-53.85%,Jan - Jul 2025,2025-12-16 15:08:46 EST
164,"Brazoria County, Texas",1,132229,Murders,6,3,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
165,"Champaign, Illinois",1,89687,Murders,6,3,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
166,"Corona, California",1,160590,Murders,6,1,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
167,"Decatur, Illinois",1,68301,Murders,6,5,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
168,"Denton, Texas",1,155215,Murders,6,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
169,"El Cajon, California",1,103569,Murders,6,2,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
170,"Fort Bend County, Texas",1,578695,Murders,6,15,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
171,"Galveston, Texas",1,52810,Murders,6,3,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
172,"Garland, Texas",1,240051,Murders,6,10,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
173,"Georgetown, Texas",1,87871,Murders,6,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
174,"Jacksonville, North Carolina",1,69340,Murders,6,2,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
175,"Lakewood, Colorado",1,156065,Murders,6,3,100.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
176,"Laredo, Texas",1,256542,Murders,6,5,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
177,"Lewisville, Texas",1,133694,Murders,6,4,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
178,"Madera, California",1,68862,Murders,6,1,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
179,"Monterey County, California",1,103695,Murders,6,1,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
180,"North Little Rock, Arkansas",1,64612,Murders,6,12,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
181,"North Richland Hills, Texas",1,70853,Murders,6,2,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
182,"Prince William County, Virginia",1,480467,Murders,6,15,-60.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
183,"Salt Lake City, Utah",1,206692,Murders,6,9,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
184,"Santa Rosa, California",1,176855,Murders,6,2,200.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
185,"Sarasota County, Florida",1,294526,Murders,6,5,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
186,"Tyler, Texas",1,110824,Murders,6,6,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
187,"West Valley, Utah",1,135023,Murders,6,5,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
188,"Albemarle County, Virginia",1,115659,Murders,5,2,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
189,"Antioch, California",1,115271,Murders,5,14,-64.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
190,"Colerain Township, Ohio",1,58268,Murders,5,1,400.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
191,"Columbia, Missouri",1,129602,Murders,5,12,-58.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
192,"Elk Grove, California",1,177976,Murders,5,3,66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
193,"Evansville, Indiana",1,114950,Murders,5,11,-54.55%,Jan - Oct 2025,2025-12-16 15:08:46 EST
194,"Fairfax County, Virginia",1,1094031,Murders,5,11,-54.55%,Jan - Jul 2025,2025-12-16 15:08:46 EST
195,"Fairfield, California",1,119071,Murders,5,1,400.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
196,"Fort Smith, Arkansas",1,90417,Murders,5,0,NaN%,Jan - Aug 2025,2025-12-16 15:08:46 EST
197,"Gastonia, North Carolina",1,83739,Murders,5,3,66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
198,"Greenwood, Indiana",1,66131,Murders,5,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
199,"Hamilton County, Ohio",1,122218,Murders,5,6,-16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
200,"High Point, North Carolina",1,115490,Murders,5,2,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
201,"Lincoln, Nebraska",1,293155,Murders,5,6,-16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
202,"Merced, California",1,94125,Murders,5,7,-28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
203,"New Hanover County, North Carolina",1,105363,Murders,5,5,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
204,"Oceanside, California",1,171348,Murders,5,2,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
205,"Santa Maria, California",1,110317,Murders,5,2,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
206,"Scottsdale, Arizona",1,243644,Murders,5,1,400.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
207,"Sioux Falls, South Dakota",1,206559,Murders,5,11,-54.55%,Jan - Oct 2025,2025-12-16 15:08:46 EST
208,"Spotsylvania County, Virginia",1,149957,Murders,5,5,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
209,"Tempe, Arizona",1,188144,Murders,5,4,25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
210,"Visalia, California",1,145031,Murders,5,7,-28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
211,"Wake County, North Carolina",1,198748,Murders,5,3,66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
212,"Abilene, Texas",1,128387,Murders,4,7,-42.86%,Jan - Oct 2025,2025-12-16 15:08:46 EST
213,"Beaufort County, South Carolina",1,132948,Murders,4,10,-60.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
214,"Billings, Montana",1,121365,Murders,4,9,-55.56%,Jan - Oct 2025,2025-12-16 15:08:46 EST
215,"Buncombe County, North Carolina",1,158547,Murders,4,2,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
216,"Carlsbad, California",1,113796,Murders,4,1,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
217,"Cedar Rapids, Iowa",1,135777,Murders,4,1,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
218,"Chandler, Arizona",1,282419,Murders,4,2,100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
219,"Collin County, Texas",1,95286,Murders,4,2,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
220,"Conway, Arkansas",1,69315,Murders,4,2,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
221,"Davenport, Iowa",1,99911,Murders,4,8,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
222,"Duluth, Minnesota",1,86570,Murders,4,3,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
223,"Fargo, North Dakota",1,134268,Murders,4,5,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
224,"Forsyth County, North Carolina",1,111773,Murders,4,5,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
225,"Guilford County, North Carolina",1,130423,Murders,4,6,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
226,"Henderson, Nevada",1,337794,Murders,4,8,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
227,"Howard County, Maryland",1,337780,Murders,4,6,-33.33%,Jan - Jun 2025,2025-12-16 15:08:46 EST
228,"Janesville, Wisconsin",1,66033,Murders,4,1,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
229,"Jefferson County, Missouri",1,167018,Murders,4,4,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
230,"Kaufman County, Texas",1,111179,Murders,4,2,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
231,"Lancaster County, South Carolina",1,100080,Murders,4,3,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
232,"Lee's Summit, Missouri",1,104402,Murders,4,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
233,"Lenexa, Kansas",1,59161,Murders,4,2,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
234,"Longview, Texas",1,82981,Murders,4,9,-55.56%,Jan - Oct 2025,2025-12-16 15:08:46 EST
235,"Midwest City, Oklahoma",1,57696,Murders,4,3,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
236,"Nassau County, New York",1,1077192,Murders,4,1,300.00%,Jan - Apr 2025,2025-12-16 15:08:46 EST
237,"National City, California",1,55270,Murders,4,2,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
238,"New Bedford, Massachusetts",1,100876,Murders,4,7,-42.86%,Jan - Oct 2025,2025-12-16 15:08:46 EST
239,"Norman, Oklahoma",1,130366,Murders,4,1,300.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
240,"Peoria, Arizona",1,200886,Murders,4,1,300.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
241,"Pima County, Arizona",1,365222,Murders,4,9,-55.56%,Jan - Oct 2025,2025-12-16 15:08:46 EST
242,"Pontiac, Michigan",1,61871,Murders,4,12,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
243,"Port Arthur, Texas",1,55371,Murders,4,5,-20.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
244,"Schenectady, New York",1,69035,Murders,4,7,-42.86%,Jan - Oct 2025,2025-12-16 15:08:46 EST
245,"St. Cloud, Minnesota",1,69922,Murders,4,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
246,"St. George, Utah",1,105930,Murders,4,1,300.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
247,"Travis County, Texas",1,277111,Murders,4,5,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
