__lineyka_row_id,agency_full,population,Percent_Change,YTD_Range,Last Updated
140,"Amarillo, Texas",201684,-30.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
141,"Brockton, Massachusetts",108938,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
142,"El Paso County, Texas",116599,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
143,"Gilbert, Arizona",278495,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
144,"Greenville, North Carolina",90048,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
145,"Gresham, Oregon",110225,40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
146,"Hayward, California",153914,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
147,"Honolulu, Hawaii",987546,-70.83%,Jan - Oct 2025,2025-12-16 15:08:46 EST
148,"Independence, Missouri",120326,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
149,"Lynchburg, Virginia",79509,-22.22%,Jan - Oct 2025,2025-12-16 15:08:46 EST
150,"Mckinney, Texas",212716,250.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
151,"Pomona, California",143578,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
152,"South Bend, Indiana",102999,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
153,"Spokane, Washington",230648,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
154,"Springfield, Missouri",170521,-12.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
155,"Victoria, Texas",65298,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
156,"Waco, Texas",145741,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
157,"Warner Robins, Georgia",82991,75.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
158,"Williamson County, Texas",202897,133.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
159,"Wilmington, North Carolina",122675,16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
160,"Yakima, Washington",96991,-36.36%,Jan - Sep 2025,2025-12-16 15:08:46 EST
161,"Aiken County, South Carolina",110756,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
162,"Baytown, Texas",83809,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
163,"Bexar County, Texas",438152,-53.85%,Jan - Jul 2025,2025-12-16 15:08:46 EST
164,"Brazoria County, Texas",132229,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
165,"Champaign, Illinois",89687,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
166,"Corona, California",160590,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
167,"Decatur, Illinois",68301,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
168,"Denton, Texas",155215,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
169,"El Cajon, California",103569,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
170,"Fort Bend County, Texas",578695,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
171,"Galveston, Texas",52810,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
172,"Garland, Texas",240051,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
173,"Georgetown, Texas",87871,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
